seed,mode,turns,winner,seat
0,selfplay,300,AI 3,2
1,selfplay,300,AI 4,2
2,selfplay,300,AI 4,1
3,selfplay,300,AI 2,2
4,selfplay,300,AI 4,3
5,selfplay,300,AI 2,0
6,selfplay,300,AI 1,2
7,selfplay,300,AI 1,1
8,selfplay,300,AI 1,0
9,selfplay,300,AI 1,3
10,selfplay,300,AI 4,1
11,selfplay,300,AI 4,0
12,selfplay,300,AI 1,0
13,selfplay,300,AI 1,3
14,selfplay,300,AI 4,1
15,selfplay,300,AI 2,2
16,selfplay,300,AI 1,0
17,selfplay,300,AI 2,0
18,selfplay,300,AI 3,0
19,selfplay,300,AI 3,3
20,selfplay,300,AI 4,3
21,selfplay,300,AI 4,2
22,selfplay,300,AI 4,1
23,selfplay,300,AI 1,1
24,selfplay,300,AI 3,2
25,selfplay,300,AI 2,0
26,selfplay,300,AI 1,2
27,selfplay,300,AI 3,3
28,selfplay,300,AI 4,3
29,selfplay,300,AI 4,2
30,selfplay,300,AI 1,2
31,selfplay,300,AI 4,0
32,selfplay,300,AI 4,3
33,selfplay,300,AI 4,2
34,selfplay,300,AI 2,3
35,selfplay,300,AI 2,2
36,selfplay,300,AI 2,1
37,selfplay,300,AI 1,3
38,selfplay,300,AI 3,0
39,selfplay,300,AI 2,2
40,selfplay,300,AI 2,1
41,selfplay,300,AI 3,1
42,selfplay,300,AI 3,0
43,selfplay,300,AI 2,2
44,selfplay,300,AI 4,3
45,selfplay,300,AI 3,1
46,selfplay,300,AI 1,2
47,selfplay,300,AI 1,1
48,selfplay,300,AI 4,3
49,selfplay,300,AI 1,3
50,selfplay,300,AI 3,0
51,selfplay,300,AI 1,1
52,selfplay,300,AI 4,3
53,selfplay,300,AI 3,1
54,selfplay,300,AI 3,0
55,selfplay,300,AI 4,0
56,selfplay,300,AI 1,0
57,selfplay,300,AI 1,3
58,selfplay,300,AI 1,2
59,selfplay,300,AI 4,0
60,selfplay,300,AI 1,0
61,selfplay,300,AI 3,1
62,selfplay,300,AI 2,3
63,selfplay,300,AI 1,1
64,selfplay,300,AI 1,0
65,selfplay,300,AI 3,1
66,selfplay,300,AI 4,1
67,selfplay,300,AI 2,2
68,selfplay,300,AI 3,2
69,selfplay,300,AI 4,2
70,selfplay,300,AI 4,1
71,selfplay,300,AI 1,1
72,selfplay,300,AI 3,2
73,selfplay,300,AI 1,3
74,selfplay,300,AI 4,1
75,selfplay,300,AI 1,1
76,selfplay,300,AI 2,1
77,selfplay,300,AI 4,2
78,selfplay,300,AI 3,0
79,selfplay,300,AI 1,1
80,selfplay,300,AI 2,1
81,selfplay,300,AI 4,2
82,selfplay,300,AI 4,1
83,selfplay,300,AI 2,2
84,selfplay,300,AI 2,1
85,selfplay,300,AI 1,3
86,selfplay,300,AI 1,2
87,selfplay,300,AI 2,2
88,selfplay,300,AI 1,0
89,selfplay,300,AI 4,2
90,selfplay,300,AI 2,3
91,selfplay,300,AI 4,0
92,selfplay,300,AI 1,0
93,selfplay,300,AI 4,2
94,selfplay,300,AI 3,0
