seed,mode,turns,winner,seat
0,selfplay,300,AI 3,2
1,selfplay,300,AI 2,0
2,selfplay,300,AI 1,2
3,selfplay,300,AI 2,2
4,selfplay,300,AI 3,2
5,selfplay,300,AI 2,0
6,selfplay,300,AI 2,3
7,selfplay,300,AI 4,0
8,selfplay,300,AI 1,0
9,selfplay,300,AI 4,2
10,selfplay,300,AI 4,1
11,selfplay,300,AI 1,1
12,selfplay,300,AI 1,0
13,selfplay,300,AI 2,0
14,selfplay,300,AI 4,1
15,selfplay,300,AI 4,0
16,selfplay,300,AI 2,1
17,selfplay,300,AI 3,1
18,selfplay,300,AI 2,3
19,selfplay,300,AI 2,2
20,selfplay,300,AI 4,3
21,selfplay,300,AI 4,2
22,selfplay,300,AI 3,0
23,selfplay,300,AI 4,0
24,selfplay,300,AI 1,0
25,selfplay,300,AI 4,2
26,selfplay,300,AI 2,3
27,selfplay,300,AI 4,0
28,selfplay,300,AI 4,3
29,selfplay,300,AI 2,0
30,selfplay,300,AI 4,1
31,selfplay,300,AI 3,3
32,selfplay,300,AI 4,3
33,selfplay,300,AI 1,3
34,selfplay,300,AI 2,3
35,selfplay,300,AI 3,3
36,selfplay,300,AI 1,0
37,selfplay,300,AI 4,2
38,selfplay,300,AI 2,3
39,selfplay,300,AI 1,1
40,selfplay,300,AI 2,1
41,selfplay,300,AI 4,2
42,selfplay,300,AI 4,1
43,selfplay,300,AI 4,0
44,selfplay,300,AI 3,2
45,selfplay,300,AI 2,0
46,selfplay,300,AI 4,1
47,selfplay,300,AI 1,1
48,selfplay,300,AI 1,0
49,selfplay,300,AI 1,3
50,selfplay,300,AI 4,1
51,selfplay,300,AI 4,0
52,selfplay,300,AI 4,3
53,selfplay,300,AI 1,3
54,selfplay,300,AI 2,3
55,selfplay,300,AI 1,1
56,selfplay,300,AI 4,3
57,selfplay,300,AI 3,1
58,selfplay,300,AI 3,0
59,selfplay,300,AI 4,0
60,selfplay,300,AI 1,0
61,selfplay,300,AI 4,2
62,selfplay,300,AI 1,2
63,selfplay,300,AI 2,2
64,selfplay,300,AI 4,3
65,selfplay,300,AI 4,2
66,selfplay,300,AI 1,2
67,selfplay,300,AI 3,3
68,selfplay,300,AI 3,2
69,selfplay,300,AI 4,2
70,selfplay,300,AI 2,3
71,selfplay,300,AI 4,0
72,selfplay,300,AI 2,1
73,selfplay,300,AI 3,1
74,selfplay,300,AI 1,2
75,selfplay,300,AI 1,1
76,selfplay,300,AI 2,1
77,selfplay,300,AI 1,3
78,selfplay,300,AI 4,1
79,selfplay,300,AI 1,1
80,selfplay,300,AI 1,0
81,selfplay,300,AI 4,2
82,selfplay,300,AI 4,1
83,selfplay,300,AI 2,2
84,selfplay,300,AI 1,0
85,selfplay,300,AI 3,1
86,selfplay,300,AI 4,1
87,selfplay,300,AI 3,3
88,selfplay,300,AI 4,3
89,selfplay,300,AI 2,0
90,selfplay,300,AI 1,2
91,selfplay,300,AI 3,3
92,selfplay,300,AI 4,3
93,selfplay,300,AI 3,1
94,selfplay,300,AI 4,1
95,selfplay,300,AI 2,2
96,selfplay,300,AI 1,0
97,selfplay,300,AI 2,0
98,selfplay,300,AI 1,2
99,selfplay,300,AI 2,2
100,selfplay,300,AI 1,0
101,selfplay,300,AI 3,1
102,selfplay,300,AI 4,1
103,selfplay,300,AI 4,0
104,selfplay,300,AI 3,2
105,selfplay,300,AI 4,2
106,selfplay,300,AI 1,2
107,selfplay,300,AI 1,1
108,selfplay,300,AI 4,3
109,selfplay,300,AI 3,1
110,selfplay,300,AI 2,3
111,selfplay,300,AI 1,1
112,selfplay,300,AI 4,3
113,selfplay,300,AI 4,2
114,selfplay,300,AI 2,3
115,selfplay,300,AI 1,1
116,selfplay,300,AI 1,0
117,selfplay,300,AI 2,0
118,selfplay,300,AI 1,2
119,selfplay,300,AI 3,3
