seed,mode,turns,winner,seat
0,vs_proxies,10,BuyAll,1
1,vs_proxies,10,Cautious,1
2,vs_proxies,10,AI 1,2
3,vs_proxies,10,Greedy,0
4,vs_proxies,10,AI 1,0
5,vs_proxies,10,Greedy,2
6,vs_proxies,10,AI 1,2
7,vs_proxies,10,AI 1,1
8,vs_proxies,10,BuyAll,1
9,vs_proxies,10,Greedy,2
10,vs_proxies,10,Cautious,0
11,vs_proxies,10,Cautious,3
12,vs_proxies,10,Cautious,2
13,vs_proxies,10,Cautious,1
14,vs_proxies,10,Greedy,1
15,vs_proxies,10,AI 1,1
16,vs_proxies,10,BuyAll,1
17,vs_proxies,10,BuyAll,0
18,vs_proxies,10,Cautious,0
19,vs_proxies,10,AI 1,1
20,vs_proxies,10,AI 1,0
21,vs_proxies,10,BuyAll,0
22,vs_proxies,10,Cautious,0
23,vs_proxies,10,AI 1,1
24,vs_proxies,10,BuyAll,1
25,vs_proxies,10,Cautious,1
26,vs_proxies,10,Cautious,0
27,vs_proxies,10,BuyAll,2
28,vs_proxies,10,Greedy,3
29,vs_proxies,10,AI 1,3
30,vs_proxies,10,BuyAll,3
31,vs_proxies,10,Greedy,0
32,vs_proxies,10,Cautious,2
33,vs_proxies,10,Cautious,1
34,vs_proxies,10,BuyAll,3
35,vs_proxies,10,Greedy,0
36,vs_proxies,10,BuyAll,1
37,vs_proxies,10,BuyAll,0
38,vs_proxies,10,AI 1,2
39,vs_proxies,10,Greedy,0
40,vs_proxies,10,AI 1,0
41,vs_proxies,10,Greedy,2
42,vs_proxies,10,Greedy,1
43,vs_proxies,10,AI 1,1
44,vs_proxies,10,AI 1,0
45,vs_proxies,10,Cautious,1
46,vs_proxies,10,BuyAll,3
47,vs_proxies,10,AI 1,1
48,vs_proxies,10,AI 1,0
49,vs_proxies,10,BuyAll,0
50,vs_proxies,10,Greedy,1
51,vs_proxies,10,Cautious,3
52,vs_proxies,10,AI 1,0
53,vs_proxies,10,AI 1,3
