seed,mode,turns,winner,seat
0,vs_proxies,300,Cautious,2
1,vs_proxies,300,BuyAll,0
2,vs_proxies,300,AI 1,2
3,vs_proxies,300,BuyAll,2
4,vs_proxies,300,Cautious,2
5,vs_proxies,300,BuyAll,0
6,vs_proxies,300,BuyAll,3
7,vs_proxies,300,Greedy,0
8,vs_proxies,300,AI 1,0
9,vs_proxies,300,AI 1,3
10,vs_proxies,300,Greedy,1
11,vs_proxies,300,AI 1,1
12,vs_proxies,300,AI 1,0
13,vs_proxies,300,BuyAll,0
14,vs_proxies,300,Cautious,0
15,vs_proxies,300,Greedy,0
16,vs_proxies,300,BuyAll,1
17,vs_proxies,300,Cautious,1
18,vs_proxies,300,BuyAll,3
19,vs_proxies,300,BuyAll,2
20,vs_proxies,300,Greedy,3
21,vs_proxies,300,Greedy,2
22,vs_proxies,300,Cautious,0
23,vs_proxies,300,Cautious,3
24,vs_proxies,300,AI 1,0
25,vs_proxies,300,Greedy,2
26,vs_proxies,300,BuyAll,3
27,vs_proxies,300,Greedy,0
28,vs_proxies,300,Greedy,3
29,vs_proxies,300,BuyAll,0
30,vs_proxies,300,Greedy,1
31,vs_proxies,300,Greedy,0
32,vs_proxies,300,Cautious,2
33,vs_proxies,300,AI 1,3
34,vs_proxies,300,BuyAll,3
35,vs_proxies,300,Cautious,3
36,vs_proxies,300,AI 1,0
37,vs_proxies,300,Cautious,1
38,vs_proxies,300,Cautious,0
39,vs_proxies,300,Greedy,0
40,vs_proxies,300,Greedy,3
41,vs_proxies,300,Greedy,2
42,vs_proxies,300,Greedy,1
43,vs_proxies,300,Greedy,0
44,vs_proxies,300,Cautious,2
45,vs_proxies,300,BuyAll,0
46,vs_proxies,300,Cautious,0
47,vs_proxies,300,AI 1,1
48,vs_proxies,300,AI 1,0
49,vs_proxies,300,Greedy,2
50,vs_proxies,300,Greedy,1
51,vs_proxies,300,Greedy,0
52,vs_proxies,300,BuyAll,1
53,vs_proxies,300,AI 1,3
54,vs_proxies,300,BuyAll,3
55,vs_proxies,300,AI 1,1
56,vs_proxies,300,Greedy,3
57,vs_proxies,300,Cautious,1
58,vs_proxies,300,Cautious,0
59,vs_proxies,300,Greedy,0
60,vs_proxies,300,AI 1,0
61,vs_proxies,300,Greedy,2
62,vs_proxies,300,Cautious,0
63,vs_proxies,300,BuyAll,2
64,vs_proxies,300,Greedy,3
65,vs_proxies,300,Greedy,2
66,vs_proxies,300,AI 1,2
67,vs_proxies,300,Cautious,3
68,vs_proxies,300,Cautious,2
69,vs_proxies,300,Greedy,2
70,vs_proxies,300,BuyAll,3
71,vs_proxies,300,Greedy,0
72,vs_proxies,300,BuyAll,1
73,vs_proxies,300,Cautious,1
74,vs_proxies,300,AI 1,2
75,vs_proxies,300,AI 1,1
