seed,mode,turns,winner,seat
0,vs_proxies,300,Cautious,2
1,vs_proxies,300,Greedy,2
2,vs_proxies,300,Greedy,1
3,vs_proxies,300,BuyAll,2
4,vs_proxies,300,Greedy,3
5,vs_proxies,300,BuyAll,0
6,vs_proxies,300,AI 1,2
7,vs_proxies,300,AI 1,1
8,vs_proxies,300,AI 1,0
9,vs_proxies,300,AI 1,3
10,vs_proxies,300,Greedy,1
11,vs_proxies,300,Greedy,0
12,vs_proxies,300,AI 1,0
13,vs_proxies,300,AI 1,3
14,vs_proxies,300,Greedy,1
15,vs_proxies,300,BuyAll,2
16,vs_proxies,300,AI 1,0
17,vs_proxies,300,BuyAll,0
18,vs_proxies,300,Cautious,0
19,vs_proxies,300,Cautious,3
20,vs_proxies,300,Greedy,3
21,vs_proxies,300,Greedy,2
22,vs_proxies,300,Greedy,1
23,vs_proxies,300,AI 1,1
24,vs_proxies,300,Cautious,2
25,vs_proxies,300,BuyAll,0
26,vs_proxies,300,AI 1,2
27,vs_proxies,300,Cautious,3
28,vs_proxies,300,Greedy,3
29,vs_proxies,300,Greedy,2
30,vs_proxies,300,AI 1,2
31,vs_proxies,300,Greedy,0
32,vs_proxies,300,Greedy,3
33,vs_proxies,300,Greedy,2
34,vs_proxies,300,BuyAll,3
35,vs_proxies,300,BuyAll,2
36,vs_proxies,300,BuyAll,1
37,vs_proxies,300,AI 1,3
38,vs_proxies,300,Cautious,0
39,vs_proxies,300,BuyAll,2
40,vs_proxies,300,BuyAll,1
41,vs_proxies,300,Cautious,1
42,vs_proxies,300,Cautious,0
43,vs_proxies,300,BuyAll,2
44,vs_proxies,300,Greedy,3
45,vs_proxies,300,Cautious,1
46,vs_proxies,300,AI 1,2
47,vs_proxies,300,AI 1,1
48,vs_proxies,300,Greedy,3
49,vs_proxies,300,AI 1,3
50,vs_proxies,300,Cautious,0
51,vs_proxies,300,AI 1,1
52,vs_proxies,300,Greedy,3
53,vs_proxies,300,Cautious,1
54,vs_proxies,300,Cautious,0
55,vs_proxies,300,Greedy,0
56,vs_proxies,300,AI 1,0
57,vs_proxies,300,AI 1,3
58,vs_proxies,300,AI 1,2
59,vs_proxies,300,Greedy,0
60,vs_proxies,300,AI 1,0
61,vs_proxies,300,Cautious,1
62,vs_proxies,300,BuyAll,3
63,vs_proxies,300,AI 1,1
64,vs_proxies,300,AI 1,0
65,vs_proxies,300,Cautious,1
66,vs_proxies,300,Greedy,1
67,vs_proxies,300,BuyAll,2
68,vs_proxies,300,Cautious,2
69,vs_proxies,300,Greedy,2
70,vs_proxies,300,Greedy,1
71,vs_proxies,300,AI 1,1
72,vs_proxies,300,Cautious,2
73,vs_proxies,300,AI 1,3
74,vs_proxies,300,Greedy,1
75,vs_proxies,300,AI 1,1
76,vs_proxies,300,BuyAll,1
77,vs_proxies,300,Greedy,2
78,vs_proxies,300,Cautious,0
79,vs_proxies,300,AI 1,1
80,vs_proxies,300,BuyAll,1
81,vs_proxies,300,Greedy,2
82,vs_proxies,300,Greedy,1
83,vs_proxies,300,BuyAll,2
84,vs_proxies,300,BuyAll,1
85,vs_proxies,300,AI 1,3
86,vs_proxies,300,AI 1,2
87,vs_proxies,300,BuyAll,2
88,vs_proxies,300,AI 1,0
89,vs_proxies,300,Greedy,2
90,vs_proxies,300,BuyAll,3
91,vs_proxies,300,Greedy,0
92,vs_proxies,300,AI 1,0
93,vs_proxies,300,Greedy,2
94,vs_proxies,300,Cautious,0
95,vs_proxies,300,AI 1,1
96,vs_proxies,300,AI 1,0
97,vs_proxies,300,Cautious,1
98,vs_proxies,300,Greedy,1
99,vs_proxies,300,AI 1,1
100,vs_proxies,300,Cautious,2
101,vs_proxies,300,BuyAll,0
102,vs_proxies,300,Greedy,1
103,vs_proxies,300,Greedy,0
104,vs_proxies,300,Greedy,3
105,vs_proxies,300,AI 1,3
106,vs_proxies,300,BuyAll,3
107,vs_proxies,300,Cautious,3
108,vs_proxies,300,Cautious,2
109,vs_proxies,300,BuyAll,0
110,vs_proxies,300,BuyAll,3
111,vs_proxies,300,AI 1,1
112,vs_proxies,300,AI 1,0
113,vs_proxies,300,Cautious,1
114,vs_proxies,300,Cautious,0
115,vs_proxies,300,Cautious,3
116,vs_proxies,300,Greedy,3
117,vs_proxies,300,AI 1,3
118,vs_proxies,300,Cautious,0
119,vs_proxies,300,Greedy,0
120,vs_proxies,300,AI 1,0
121,vs_proxies,300,BuyAll,0
122,vs_proxies,300,Cautious,0
123,vs_proxies,300,AI 1,1
124,vs_proxies,300,Greedy,3
125,vs_proxies,300,AI 1,3
126,vs_proxies,300,Greedy,1
127,vs_proxies,300,BuyAll,2
128,vs_proxies,300,AI 1,0
129,vs_proxies,300,Cautious,1
130,vs_proxies,300,Greedy,1
131,vs_proxies,300,BuyAll,2
132,vs_proxies,300,AI 1,0
133,vs_proxies,300,BuyAll,0
134,vs_proxies,300,BuyAll,3
135,vs_proxies,300,AI 1,1
136,vs_proxies,300,Greedy,3
137,vs_proxies,300,AI 1,3
138,vs_proxies,300,AI 1,2
139,vs_proxies,300,AI 1,1
140,vs_proxies,300,Cautious,2
141,vs_proxies,300,Cautious,1
142,vs_proxies,300,Greedy,1
143,vs_proxies,300,Cautious,3
144,vs_proxies,300,Cautious,2
145,vs_proxies,300,BuyAll,0
